,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
27,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39385,2018-09-11,SCC_39385 - 2018-09-11,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1723.0,1723.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29701,28,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
28,Pioneer Equipment Inc,Pioneer Equipment Inc,"3738 E Miami Ave
",,Phoenix,AZ,85040,SCC_39386,2018-09-17,SCC_39386 - 2018-09-17,LIQUID,NET 30,Nofield,0.0,0.0,3990.0,3990.0,Balance Due,SCC_4895,SCC_4895,Pioneer Equipment Inc,,P,QuoteNo,SCC_29702,29,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
29,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39387,2018-09-17,SCC_39387 - 2018-09-17,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,6063.3,6063.3,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29703,30,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
30,TALIS CONSTRUCTION,TALIS CONSTRUCTION,"2342 S McClintock Dr
",,TEMPE,AZ,85282,SCC_39388,2018-09-14,SCC_39388 - 2018-09-14,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,950.0,950.0,Balance Due,SCC_4906,SCC_4906,TALIS CONSTRUCTION,,P,QuoteNo,SCC_29704,31,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
31,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39389,2018-09-12,SCC_39389 - 2018-09-12,LIQUID,NET 30,Nofield,0.0,0.0,2670.0,2670.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29705,32,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
32,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39390,2018-09-18,SCC_39390 - 2018-09-18,LIQUID,NET 30,Nofield,0.0,0.0,7287.0,7287.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29706,33,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
33,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39391,2018-09-20,SCC_39391 - 2018-09-20,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,4399.54,4399.54,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2018-09-25 12:14:30.873,P,QuoteNo,SCC_29707,34,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
34,OLT Fabrication,OLT Fabrication,"2301 West Broadway
",,Phoenix,AZ,85041,SCC_39392,2018-09-24,SCC_39392 - 2018-09-24,LIQUID,NET 30,Nofield,0.0,0.0,1237.5,1237.5,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,,P,QuoteNo,SCC_29708,35,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
35,OLT Fabrication,OLT Fabrication,"2301 West Broadway
",,Phoenix,AZ,85041,SCC_39393,2018-09-24,SCC_39393 - 2018-09-24,LIQUID,NET 30,Nofield,0.0,0.0,100.0,100.0,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,,P,QuoteNo,SCC_29709,36,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
36,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39394,2018-09-26,SCC_39394 - 2018-09-26,LIQUID,NET 30,Nofield,0.0,0.0,150.0,150.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29710,37,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
37,TALIS CONSTRUCTION,TALIS CONSTRUCTION,"2342 S McClintock Dr
",,TEMPE,AZ,85282,SCC_39395,2018-09-26,SCC_39395 - 2018-09-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2150.0,2150.0,Balance Due,SCC_4906,SCC_4906,TALIS CONSTRUCTION,2018-09-27 10:58:53.947,P,QuoteNo,SCC_29711,38,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
38,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39396,2018-09-22,SCC_39396 - 2018-09-22,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,324.0,324.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29712,39,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
39,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39397,2018-09-22,SCC_39397 - 2018-09-22,,DUE ON RECEI,Nofield,0.0,0.0,920.0,920.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,2018-09-27 15:00:28.850,P,QuoteNo,SCC_29713,40,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
40,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39399,2018-09-27,SCC_39399 - 2018-09-27,LIQUID,DUE ON RECEI,Nofield,4.95,0.0,454.95,454.95,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29715,41,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
41,Advanced Metal Sales LLC,Advanced Metal Sales LLC,"21605 N 26th Ave
",,Phoenix,AZ,85027,SCC_39401,2018-09-26,SCC_39401 - 2018-09-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2850.0,2850.0,Balance Due,SCC_4908,SCC_4908,Advanced Metal Sales LLC,,P,QuoteNo,SCC_29716,42,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
42,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39457MA,2018-10-03,SCC_39457MA - 2018-10-03,LIQUID,NET 30,Nofield,0.0,0.0,400.0,400.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29718,43,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
