,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
705,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,,,,  ,,SCC_40043,2020-09-29,SCC_40043 - 2020-09-29,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,925.0,925.0,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,2020-09-29 14:49:47.373,P,QuoteNo,SCC_30399,706,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
706,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40044,2020-09-30,SCC_40044 - 2020-09-30,LIQUID,NET 45,Nofield,0.0,0.0,1925.0,1925.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-09-30 08:00:56.477,P,QuoteNo,SCC_30400,707,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
707,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,,Mesa,AZ,85205,SCC_40045,2020-09-24,SCC_40045 - 2020-09-24,LIQUID,NET 30,Nofield,0.0,0.0,1200.0,1200.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2020-09-30 08:03:55.083,P,QuoteNo,SCC_30401,708,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
708,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,,Phoenix,AZ,85034,SCC_40046,2020-09-25,SCC_40046 - 2020-09-25,LIQUID,NET 30,Nofield,0.0,0.0,1378.0,1378.0,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,2020-09-30 08:17:50.850,P,QuoteNo,SCC_30402,709,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
709,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40047,2020-10-03,SCC_40047 - 2020-10-03,LIQUID,NET 30,Nofield,0.0,0.0,14400.0,14400.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-06 09:32:36.460,P,QuoteNo,SCC_30403,710,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
710,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40048,2020-10-03,SCC_40048 - 2020-10-03,LIQUID,NET 30,Nofield,0.0,0.0,14400.0,14400.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-06 09:33:24.237,P,QuoteNo,SCC_30404,711,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
711,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40049,2020-10-02,SCC_40049 - 2020-10-02,LIQUID,NET 30,Nofield,0.0,0.0,6090.0,6090.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-06 09:34:12.250,P,QuoteNo,SCC_30405,712,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
712,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40050,2020-10-01,SCC_40050 - 2020-10-01,LIQUID,NET 30,Nofield,0.0,0.0,412.5,412.5,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-06 09:34:53.927,P,QuoteNo,SCC_30406,713,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
713,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,,Mesa,AZ,85205,SCC_40051,2020-10-01,SCC_40051 - 2020-10-01,LIQUID,NET 30,Nofield,0.0,0.0,400.0,400.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2020-10-06 12:10:15.147,P,QuoteNo,SCC_30407,714,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
714,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,,,,  ,,SCC_40052,2020-10-03,SCC_40052 - 2020-10-03,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2894.5,2894.5,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,2020-10-06 12:11:23.287,P,QuoteNo,SCC_30408,715,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
715,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40053,2020-10-06,SCC_40053 - 2020-10-06,LIQUID,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-10-06 12:15:14.537,P,QuoteNo,SCC_30409,716,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
716,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40054,2020-10-03,SCC_40054 - 2020-10-03,LIQUID,NET 30,Nofield,0.0,0.0,1560.68,1560.68,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2020-10-06 14:57:02.530,P,QuoteNo,SCC_30410,717,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-04-12
717,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40055,2020-10-10,SCC_40055 - 2020-10-10,LIQUID,NET 30,Nofield,0.0,0.0,6555.4,6555.4,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2020-10-13 11:23:09.880,P,QuoteNo,SCC_30411,718,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-03-01
718,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40056,2020-10-10,SCC_40056 - 2020-10-10,LIQUID,NET 30,Nofield,0.0,0.0,26542.32,26542.32,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2020-10-13 11:28:16.797,P,QuoteNo,SCC_30412,719,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-07-09
719,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40057,2020-10-09,SCC_40057 - 2020-10-09,LIQUID,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-10-13 11:31:47.973,P,QuoteNo,SCC_30413,720,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
720,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40058,2020-10-10,SCC_40058 - 2020-10-10,LIQUID,NET 30,Nofield,0.0,0.0,14400.0,14400.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-13 12:14:44.390,P,QuoteNo,SCC_30414,721,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
721,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40060,2020-10-10,SCC_40060 - 2020-10-10,LIQUID,NET 30,Nofield,0.0,0.0,14400.0,14400.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-13 12:17:25.647,P,QuoteNo,SCC_30415,722,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
722,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40061,2020-10-21,SCC_40061 - 2020-10-21,LIQUID,NET 45,Nofield,0.0,0.0,2609.5,2609.5,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-10-21 09:44:47.090,P,QuoteNo,SCC_30416,723,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
723,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,,Phoenix,AZ,85034,SCC_40062,2020-10-16,SCC_40062 - 2020-10-16,LIQUID,NET 30,Nofield,0.0,0.0,835.2,835.2,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,2020-10-21 09:44:58.653,P,QuoteNo,SCC_30417,724,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
724,Alstate Steel,Alstate Steel,5343 Mohave Street,,Phoenix,AZ,85043,SCC_40063,2020-10-15,SCC_40063 - 2020-10-15,LIQUID,NET 30,Nofield,0.0,0.0,297.15,297.15,Balance Due,SCC_4912,SCC_4912,Alstate Steel,2020-10-21 09:54:13.600,P,QuoteNo,SCC_30418,725,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
725,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40064,2020-10-17,SCC_40064 - 2020-10-17,LIQUID,NET 30,Nofield,0.0,0.0,1680.21,1680.21,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-21 09:55:41.313,P,QuoteNo,SCC_30419,726,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
726,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,,Mesa,AZ,85205,SCC_40065,2020-10-16,SCC_40065 - 2020-10-16,LIQUID,NET 30,Nofield,0.0,0.0,4800.0,4800.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2020-10-21 09:57:49.353,P,QuoteNo,SCC_30420,727,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
727,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40066,2020-10-17,SCC_40066 - 2020-10-17,LIQUID,NET 30,Nofield,0.0,0.0,14400.0,14400.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-21 09:58:30.877,P,QuoteNo,SCC_30421,728,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
728,Campbell Enterprises,Campbell Enterprises,12211 S Gilbert Rd,,Gilbert,AZ,85296,SCC_40067,2020-10-16,SCC_40067 - 2020-10-16,LIQUID,NET 30,Nofield,0.0,0.0,1250.0,1250.0,Balance Due,SCC_4991,SCC_4991,Campbell Enterprises,2020-10-21 12:36:47.120,P,QuoteNo,SCC_30422,729,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
729,Dan Reardon,Dan Reardon,55 E Vía Del Cielo,,Wickenburg,AZ,85930,SCC_40068,2020-10-17,SCC_40068 - 2020-10-17,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,12180.0,12180.0,Balance Due,SCC_4994,SCC_4994,Dan Reardon,2020-10-22 07:55:21.793,P,QuoteNo,SCC_30423,730,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
730,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,,,,  ,,SCC_40200DC,2020-09-29,SCC_40200DC - 2020-09-29,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,217.78,217.78,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,2020-09-29 14:49:47.373,P,QuoteNo,SCC_30424,731,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
731,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40069,2020-10-24,SCC_40069 - 2020-10-24,LIQUID,NET 30,Nofield,0.0,0.0,22815.0,22815.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-27 10:01:18.397,P,QuoteNo,SCC_30425,732,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
732,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40070,2020-10-23,SCC_40070 - 2020-10-23,BLAST,NET 30,Nofield,0.0,0.0,2450.71,2450.71,Balance Due,SCC_4891,SCC_4891,Castle Steel,2020-10-27 10:02:51.070,P,QuoteNo,SCC_30426,733,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
733,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40071,2020-10-27,SCC_40071 - 2020-10-27,LIQUID,NET 45,Nofield,0.0,0.0,4155.92,4155.92,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-10-27 10:03:51.070,P,QuoteNo,SCC_30427,734,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
734,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40072,2020-10-23,SCC_40072 - 2020-10-23,LIQUID,NET 30,Nofield,0.0,0.0,13820.6,13820.6,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-10-27 10:06:14.530,P,QuoteNo,SCC_30428,735,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
735,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40073,2020-11-03,SCC_40073 - 2020-11-03,LIQUID,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-11-03 10:58:29.280,P,QuoteNo,SCC_30429,736,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
736,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40074,2020-10-30,SCC_40074 - 2020-10-30,LIQUID,NET 30,Nofield,0.0,0.0,18990.0,18990.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-03 10:59:56.357,P,QuoteNo,SCC_30430,737,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
737,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40075,2020-10-28,SCC_40075 - 2020-10-28,LIQUID,NET 30,Nofield,0.0,0.0,800.0,800.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2020-11-03 11:00:57.787,P,QuoteNo,SCC_30431,738,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
738,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40076,2020-10-30,SCC_40076 - 2020-10-30,LIQUID,NET 30,Nofield,0.0,0.0,2266.49,2266.49,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-03 11:02:49.193,P,QuoteNo,SCC_30432,739,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
739,Simflo Pump,Simflo Pump,754 E Maley St,,Willcox,AZ,85643,SCC_40077,2020-10-29,SCC_40077 - 2020-10-29,LIQUID,NET 30,Nofield,0.0,0.0,2085.7,2085.7,Balance Due,SCC_4962,SCC_4962,Simflo Pump,2020-11-03 11:05:11.277,P,QuoteNo,SCC_30433,740,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
740,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40078,2020-10-30,SCC_40078 - 2020-10-30,LIQUID,NET 30,Nofield,0.0,0.0,17815.46,17815.46,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2020-11-03 11:08:46.433,P,QuoteNo,SCC_30434,741,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-05-24
741,Alloy Builders Corporation,Alloy Builders Corporation,7117 E. Orange Blossom Ln,,Paradise Valley,AZ,85251,SCC_40079,2020-11-10,SCC_40079 - 2020-11-10,LIQUID,NET 30,Nofield,0.0,0.0,48257.5,48257.5,Balance Due,SCC_4995,SCC_4995,Alloy Builders Corporation,2020-11-10 11:22:48.377,P,QuoteNo,SCC_30435,742,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-03-30
742,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40080,2020-11-07,SCC_40080 - 2020-11-07,LIQUID,NET 30,Nofield,0.0,0.0,3032.9,3032.9,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2020-11-11 09:14:53.137,P,QuoteNo,SCC_30436,743,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-09-09
743,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40081,2020-11-06,SCC_40081 - 2020-11-06,LIQUID,NET 30,Nofield,0.0,0.0,1496.25,1496.25,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-11 09:22:38.627,P,QuoteNo,SCC_30437,744,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
744,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40082,2020-11-06,SCC_40082 - 2020-11-06,LIQUID,NET 30,Nofield,0.0,0.0,10237.0,10237.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-11 09:24:14.120,P,QuoteNo,SCC_30438,745,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
745,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40083,2020-11-11,SCC_40083 - 2020-11-11,LIQUID,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-11-11 09:27:51.073,P,QuoteNo,SCC_30439,746,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
746,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40085,2020-11-18,SCC_40085 - 2020-11-18,LIQUID,NET 45,Nofield,0.0,0.0,2753.48,2753.48,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-11-18 09:46:07.720,P,QuoteNo,SCC_30440,747,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
747,BRIAN,BRIAN,,,,  ,,SCC_40086,2020-11-12,SCC_40086 - 2020-11-12,LIQUID,NET 30,Nofield,0.0,0.0,593.28,593.28,Balance Due,SCC_4997,SCC_4997,BRIAN,2020-11-18 09:49:25.637,P,QuoteNo,SCC_30441,748,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
748,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40087,2020-11-12,SCC_40087 - 2020-11-12,LIQUID,NET 30,Nofield,0.0,0.0,27500.0,27500.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2020-11-18 09:50:03.593,P,QuoteNo,SCC_30442,749,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-06-25
749,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40088,2020-11-12,SCC_40088 - 2020-11-12,LIQUID,NET 30,Nofield,0.0,0.0,530.0,530.0,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2020-11-18 09:51:29.230,P,QuoteNo,SCC_30443,750,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-03-01
750,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40089,2020-11-13,SCC_40089 - 2020-11-13,BLAST,NET 30,Nofield,0.0,0.0,720.0,720.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,2020-11-18 09:54:25.883,P,QuoteNo,SCC_30444,751,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
751,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,,Phoenix,AZ,85034,SCC_40090,2020-11-09,SCC_40090 - 2020-11-09,LIQUID,NET 30,Nofield,0.0,0.0,1176.0,1176.0,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,2020-11-18 09:55:49.220,P,QuoteNo,SCC_30445,752,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
752,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,,Mesa,AZ,85210,SCC_40091,2020-11-14,SCC_40091 - 2020-11-14,LIQUID,NET 30,Nofield,0.0,0.0,6750.0,6750.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2020-11-18 10:01:58.667,P,QuoteNo,SCC_30446,753,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-04-07
753,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,,Mesa,AZ,85210,SCC_40091MM,2020-11-14,SCC_40091MM - 2020-11-14,LIQUID,NET 30,Nofield,0.0,0.0,945.5,945.5,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2020-11-20 14:44:06.617,P,QuoteNo,SCC_30447,754,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
754,Rimex,Rimex,"4415 W. Magnolia St.
Phoenix AZ 85043",,,AZ,85043,SCC_40092,2020-11-19,SCC_40092 - 2020-11-19,LIQUID,NET 30,Nofield,0.0,0.0,950.0,950.0,Balance Due,SCC_4961,SCC_4961,Rimex,2020-11-24 12:38:13.000,P,QuoteNo,SCC_30448,755,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
755,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40093,2020-11-20,SCC_40093 - 2020-11-20,LIQUID,NET 45,Nofield,0.0,0.0,9164.0,9164.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-11-24 14:27:40.273,P,QuoteNo,SCC_30449,756,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
756,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40094,2020-11-19,SCC_40094 - 2020-11-19,LIQUID,NET 30,Nofield,0.0,0.0,1890.0,1890.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-24 14:29:02.797,P,QuoteNo,SCC_30450,757,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
757,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40095,2020-11-19,SCC_40095 - 2020-11-19,LIQUID,NET 30,Nofield,0.0,0.0,1283.94,1283.94,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2020-11-24 14:29:57.683,P,QuoteNo,SCC_30451,758,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-03-01
758,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40096,2020-11-14,SCC_40096 - 2020-11-14,LIQUID,NET 30,Nofield,0.0,0.0,453.0,453.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2020-11-24 14:30:40.690,P,QuoteNo,SCC_30452,759,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
759,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,,Mesa,AZ,85210,SCC_40097,2020-11-20,SCC_40097 - 2020-11-20,LIQUID,NET 30,Nofield,0.0,0.0,3782.0,3782.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2020-11-24 14:31:16.593,P,QuoteNo,SCC_30453,760,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
760,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,,,,  ,,SCC_40098,2020-11-20,SCC_40098 - 2020-11-20,BLAST,DUE ON RECEI,Nofield,0.0,0.0,2720.0,2720.0,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,2020-11-24 14:32:38.210,P,QuoteNo,SCC_30454,761,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
761,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,,Mesa,AZ,85210,SCC_40099,2020-11-20,SCC_40099 - 2020-11-20,LIQUID,NET 30,Nofield,0.0,0.0,609.74,609.74,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2020-11-24 14:33:14.370,P,QuoteNo,SCC_30455,762,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
762,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40100,2020-11-20,SCC_40100 - 2020-11-20,LIQUID,NET 45,Nofield,0.0,0.0,4400.0,4400.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-11-24 14:36:02.233,P,QuoteNo,SCC_30456,763,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
763,Bold Framing,Bold Framing,5128 E Ingram St,,Mesa,AZ,85205,SCC_40101,2020-11-27,SCC_40101 - 2020-11-27,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,3000.0,3000.0,Balance Due,SCC_4998,SCC_4998,Bold Framing,2020-12-01 12:03:05.470,P,QuoteNo,SCC_30457,764,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
764,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40102,2020-12-07,SCC_40102 - 2020-12-07,LIQUID,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2020-12-07 13:13:44.743,P,QuoteNo,SCC_30458,765,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-03-03
765,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,,Mesa,AZ,85210,SCC_40103,2020-11-24,SCC_40103 - 2020-11-24,LIQUID,NET 30,Nofield,0.0,0.0,2610.0,2610.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2020-12-07 13:15:36.090,P,QuoteNo,SCC_30459,766,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
766,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40104,2020-11-27,SCC_40104 - 2020-11-27,LIQUID,NET 30,Nofield,0.0,0.0,125.0,125.0,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2020-12-07 13:23:29.587,P,QuoteNo,SCC_30460,767,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-10-22
767,Industrial Inspection & Consul,Industrial Inspection & Consul,3301 East Tonto Drive,,Phoenix,AZ,85044,SCC_40105,2020-11-27,SCC_40105 - 2020-11-27,LIQUID,NET 30,Nofield,0.0,0.0,3675.0,3675.0,Balance Due,SCC_4931,SCC_4931,Industrial Inspection & Consul,2020-12-07 13:26:30.923,P,QuoteNo,SCC_30461,768,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-02-22
768,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40106,2020-12-07,SCC_40106 - 2020-12-07,LIQUID,NET 30,Nofield,0.0,0.0,2164.0,2164.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2020-12-07 13:28:10.797,P,QuoteNo,SCC_30462,769,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2021-06-21
