Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_12569 not found for field E2_Quote_Key__c in entity Opportunity:--,11247,2,EPA,1.0,10.0,51388-02,,12388,WON,,DCS_11247,DCS_12388,LIQUID,11232,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12569 not found for field E2_Quote_Key__c in entity Opportunity:--,11248,3,SERIES N140 TNEMEC TANK WHITE,1.0,0.0,51388-03,,12388,WON,"Tnemec Series N140 Polyamide Epoxy 15BL Tank White
INVALID_FIELD:Foreign key external ID: dcs_12569 not found for field E2_Quote_Key__c in entity Opportunity:--,Part A and Part B, 2 or 10 G",DCS_11248,DCS_12388,LIQUID,11233,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12569 not found for field E2_Quote_Key__c in entity Opportunity:--,11249,1,PIPES 2'' UP TO 10',55.0,2.25,,,12389,EXP,Blast & Coat,DCS_11249,DCS_12389,DUMMY,11234,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12569 not found for field E2_Quote_Key__c in entity Opportunity:--,11250,2,EPA,1.0,6.19,,,12389,EXP,,DCS_11250,DCS_12389,DUMMY,11235,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12592 not found for field E2_Quote_Key__c in entity Opportunity:--,11363,2,EPA,1.0,5.0,50837-02,,12414,WON,,DCS_11363,DCS_12414,DUMMY,11348,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12592 not found for field E2_Quote_Key__c in entity Opportunity:--,11364,3,PICK UP,1.0,85.0,50837-03,,12414,WON,Desert Powder 24' Flat Bed Truck Pick Up,DCS_11364,DCS_12414,DUMMY,11349,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12593 not found for field E2_Quote_Key__c in entity Opportunity:--,11365,4,DELIVERY,1.0,85.0,50837-04,,12414,WON,Desert Powder 24' Flat Bed Truck Delivery,DCS_11365,DCS_12414,DUMMY,11350,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12593 not found for field E2_Quote_Key__c in entity Opportunity:--,11366,1,POST 10'X3'',206.0,20.0,,,12415,EXP,Blast & Coat,DCS_11366,DCS_12415,POWDER,11351,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12593 not found for field E2_Quote_Key__c in entity Opportunity:--,11367,2,FENCE 6'X10',176.0,35.0,,,12415,EXP,Blast & Coat,DCS_11367,DCS_12415,POWDER,11352,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12593 not found for field E2_Quote_Key__c in entity Opportunity:--,11368,3,FENCE 3'X10',30.0,25.0,,,12415,EXP,Blast & Coat,DCS_11368,DCS_12415,POWDER,11353,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12593 not found for field E2_Quote_Key__c in entity Opportunity:--,11369,4,EPA,1.0,551.5,,,12415,EXP,,DCS_11369,DCS_12415,POWDER,11354,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12598 not found for field E2_Quote_Key__c in entity Opportunity:--,11380,1,SCREEN 2'4''X5',4.0,85.0,,,12417,EXP,"Sandblast, Primer and Topcoat",DCS_11380,DCS_12417,DUMMY,11365,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12598 not found for field E2_Quote_Key__c in entity Opportunity:--,11381,2,SCREEN 5'6''X5',2.0,170.0,,,12417,EXP,"Sandblast, Primer and Topcoat",DCS_11381,DCS_12417,DUMMY,11366,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12598 not found for field E2_Quote_Key__c in entity Opportunity:--,11382,3,ROOF FRAME 15'X9',1.0,800.0,,,12417,EXP,"Sandblast, Primer and Topcoat",DCS_11382,DCS_12417,DUMMY,11367,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11396,4,TEE 10''X27'' TRUSTOP,44.0,143.03,,,12419,EXP,Tee FBE 10'' x27'' Blast & Coat & Mask,DCS_11396,DCS_12419,DUMMY,11381,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11397,5,NPS 10 SCH 20,144.0,33.76,,,12419,EXP,Blast & Coat with Masking Flanges,DCS_11397,DCS_12419,DUMMY,11382,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11398,6,NPS 8 SCH 40,2.0,27.0,,,12419,EXP,Blast & Coat with Masking Flanges,DCS_11398,DCS_12419,DUMMY,11383,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11399,7,NPS 6 SCH 40,27.0,18.9,,,12419,EXP,Blast & Coat with Masking Flanges,DCS_11399,DCS_12419,DUMMY,11384,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
