Error,﻿CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVFIA3, current value is 001Dn00000PjIKoIAN:Account__c --,Industrial Inspection & Consul,Industrial Inspection & Consul,3301 East Tonto Drive,NULL,Phoenix,AZ,85044,40140,1/8/2021,LIQUID,NET 30,Nofield,0,0,975,975,Balance Due,SCC_4931,SCC_4931,Industrial Inspection & Consul,48:03.7,P,QuoteNo,30497
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40141,1/13/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,50:51.0,P,QuoteNo,30498
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUxIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Alstate Steel,Alstate Steel,5343 Mohave Street,NULL,Phoenix,AZ,85043,40142,1/7/2021,LIQUID,NET 30,Nofield,0,0,2445.7,2445.7,Balance Due,SCC_4912,SCC_4912,Alstate Steel,55:36.7,P,QuoteNo,30499
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIKoIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40143,1/9/2021,LIQUID,NET 30,Nofield,0,0,8303.35,8303.35,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),06:48.8,P,QuoteNo,30500
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIWHIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40145,1/15/2021,LIQUID,NET 30,Nofield,0,0,250,250,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),52:34.2,P,QuoteNo,30501
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIcJIAV:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40146,1/15/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,53:40.7,P,QuoteNo,30502
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjJLSIA3:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40147,1/13/2021,LIQUID,NET 30,Nofield,0,0,1459.61,1459.61,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,01:22.5,P,QuoteNo,30503
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWJIA3, current value is 001Dn00000PjI2ZIAV:Account__c --,Phillips Tank & Structure,Phillips Tank & Structure,13A Talbot Ave,NULL,Braddock,PA,15104,40148,1/14/2021,LIQUID,NET 30,Nofield,0,0,8394.5,8394.5,Balance Due,SCC_5000,SCC_5000,Phillips Tank & Structure,03:51.0,P,QuoteNo,30504
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHlhIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40149,1/20/2021,LIQUID,NET 30,Nofield,0,0,4593.75,4593.75,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),10:45.6,P,QuoteNo,30505
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIU3IAN:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40150,1/22/2021,LIQUID,NET 30,Nofield,0,0,2164,2164,Balance Due,SCC_4890,SCC_4890,Currier Construction,11:42.8,P,QuoteNo,30506
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWEIA3, current value is 001Dn00000PjIkPIAV:Account__c --,Alloy Builders Corporation,Alloy Builders Corporation,7117 E. Orange Blossom Ln,NULL,Paradise Valley,AZ,85251,40151,1/21/2021,LIQUID,DUE ON RECEI,Nofield,0,0,525,525,Balance Due,SCC_4995,SCC_4995,Alloy Builders Corporation,58:16.4,P,QuoteNo,30507
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJViIAN, current value is 001Dn00000PjJBJIA3:Account__c --,Simflo Pump,Simflo Pump,754 E Maley St,NULL,Willcox,AZ,85643,40152,1/22/2021,LIQUID,NET 30,Nofield,0,0,9760,9760,Balance Due,SCC_4962,SCC_4962,Simflo Pump,00:25.2,P,QuoteNo,30508
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjJBJIA3:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40153,1/27/2021,LIQUID,NET 45,Nofield,0,0,2466.88,2466.88,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,09:25.4,P,QuoteNo,30509
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjIKcIAN:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40154,1/22/2021,LIQUID,NET 30,Nofield,0,0,2794.38,2794.38,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,28:20.2,P,QuoteNo,30510
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHlhIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40155,1/22/2021,LIQUID,NET 30,Nofield,0,0,4492.51,4492.51,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),30:03.9,P,QuoteNo,30511
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjHeDIAV:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40156,2/22/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,09:38.4,P,QuoteNo,30512
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjIfnIAF:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40158,2/13/2021,LIQUID,NET 30,Nofield,0,0,875,875,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,11:45.5,P,QuoteNo,30513
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjICpIAN:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40157,2/20/2021,LIQUID,NET 30,Nofield,0,0,26320.21,26320.21,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,13:51.8,P,QuoteNo,30514
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUmIAN, current value is 001Dn00000PjICpIAN:Account__c --,Southwest Metalsmiths,Southwest Metalsmiths,5026 E Beverly Rd,NULL,Phoenix,AZ,85044,40159,2/20/2021,LIQUID,NET 30,Nofield,0,0,6120,6120,Balance Due,SCC_4899,SCC_4899,Southwest Metalsmiths,18:20.7,P,QuoteNo,30515
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjICpIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40160,2/22/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,20:53.9,P,QuoteNo,30516
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjICpIAN:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40161,2/13/2021,LIQUID,NET 30,Nofield,0,0,525,525,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,22:37.2,P,QuoteNo,30517
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJViIAN, current value is 001Dn00000PjICpIAN:Account__c --,Simflo Pump,Simflo Pump,754 E Maley St,NULL,Willcox,AZ,85643,40162,2/13/2021,LIQUID,NET 30,Nofield,0,0,1351,1351,Balance Due,SCC_4962,SCC_4962,Simflo Pump,23:58.9,P,QuoteNo,30518
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVWIA3, current value is 001Dn00000PjICDIA3:Account__c --,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,NULL,Phoenix,AZ,85043,40163,2/8/2021,LIQUID,NET 30,Nofield,0,0,316.6,316.6,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,28:51.2,P,QuoteNo,30519
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWKIA3, current value is 001Dn00000PjIU3IAN:Account__c --,"Construction Product  Marketing, LLC","Construction Product  Marketing, LLC","3815 E. Grove Street, Unit 4",NULL,Phoenix,AZ,85040,40164,2/8/2021,LIQUID,DUE ON RECEI,Nofield,0,0,815,815,Balance Due,SCC_5001,SCC_5001,"Construction Product  Marketing, LLC",32:33.1,P,QuoteNo,30520
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIMUIA3:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40165,2/6/2021,LIQUID,NET 30,Nofield,0,0,16536,16536,Balance Due,SCC_4890,SCC_4890,Currier Construction,34:41.4,P,QuoteNo,30521
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIJ5IAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40166,2/22/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,38:14.9,P,QuoteNo,30522
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIkTIAV:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40167,2/5/2021,LIQUID,NET 30,Nofield,0,0,1000,1000,Balance Due,SCC_4890,SCC_4890,Currier Construction,39:34.0,P,QuoteNo,30523
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIfnIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40168,2/8/2021,LIQUID,NET 30,Nofield,0,0,1654,1654,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),41:15.6,P,QuoteNo,30524
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjHeQIAV:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40169,2/13/2021,LIQUID,NET 30,Nofield,0,0,957,957,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,42:30.7,P,QuoteNo,30525
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40170,2/8/2021,LIQUID,NET 30,Nofield,0,0,1458,1458,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),58:21.6,P,QuoteNo,30526
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJViIAN, current value is 001Dn00000PjICpIAN:Account__c --,Simflo Pump,Simflo Pump,754 E Maley St,NULL,Willcox,AZ,85643,40171,2/6/2021,LIQUID,NET 30,Nofield,0,0,4340,4340,Balance Due,SCC_4962,SCC_4962,Simflo Pump,59:39.6,P,QuoteNo,30527
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJW4IAN, current value is 001Dn00000PjIOQIA3:Account__c --,Haydon Building Corp,Haydon Building Corp,4640 E Cotton Gin Loop,NULL,Phoenix,AZ,85040,40172,1/28/2021,LIQUID,DUE ON RECEI,Nofield,0,0,650,650,Balance Due,SCC_4985,SCC_4985,Haydon Building Corp,01:21.6,P,QuoteNo,30528
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjICpIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40173,1/30/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,03:44.3,P,QuoteNo,30529
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjIdXIAV:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40174,2/4/2021,LIQUID,NET 30,Nofield,0,0,7250,7250,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,06:42.9,P,QuoteNo,30530
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjJJUIA3:Account__c --,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,NULL,Mesa,AZ,85205,40175,2/20/2021,LIQUID,NET 30,Nofield,0,0,1200,1200,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",39:35.3,P,QuoteNo,30531
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIklIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40176,2/20/2021,LIQUID,NET 30,Nofield,0,0,9641.27,9641.27,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),40:41.7,P,QuoteNo,30532
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIOzIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40177,2/8/2021,LIQUID,NET 30,Nofield,0,0,9214.25,9214.25,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),42:34.7,P,QuoteNo,30533
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIjMIAV:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40178,2/15/2021,LIQUID,NET 30,Nofield,0,0,6814.47,6814.47,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),43:38.7,P,QuoteNo,30534
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWMIA3, current value is 001Dn00000PjICpIAN:Account__c --,Arizona Pure Custom,Arizona Pure Custom,5155 E Eagle Dr. Unit 20561,NULL,Mesa,AZ,85277,40179,1/29/2021,LIQUID,DUE ON RECEI,Nofield,0,0,600,NULL,Balance Due,SCC_5003,SCC_5003,Arizona Pure Custom,45:02.9,U,QuoteNo,30535
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjICpIAN:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40180,2/27/2021,LIQUID,NET 30,Nofield,0,0,5520,5520,Balance Due,SCC_4890,SCC_4890,Currier Construction,49:57.6,P,QuoteNo,30536
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHmwIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40181,2/27/2021,LIQUID,NET 30,Nofield,0,0,3920,3920,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),51:20.2,P,QuoteNo,30537
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjINrIAN:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40182,2/26/2021,LIQUID,NET 30,Nofield,0,0,17670,17670,Balance Due,SCC_4890,SCC_4890,Currier Construction,52:09.4,P,QuoteNo,30538
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIfpIAF:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40183,3/3/2021,LIQUID,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,53:21.0,P,QuoteNo,30539
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjIWVIA3:Account__c --,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,NULL,Mesa,AZ,85205,40184,2/27/2021,LIQUID,NET 30,Nofield,0,0,1200,1200,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",55:00.2,P,QuoteNo,30540
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjIWVIA3:Account__c --,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,NULL,Mesa,AZ,85205,40185,2/27/2021,LIQUID,NET 30,Nofield,0,0,1000,1000,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",55:55.9,P,QuoteNo,30541
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjIVuIAN:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40186,2/26/2021,LIQUID,NET 30,Nofield,0,0,354.65,354.65,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,56:49.9,P,QuoteNo,30542
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIguIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40187,2/24/2021,LIQUID,NET 30,Nofield,0,0,1812,1812,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),57:51.3,P,QuoteNo,30543
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJDaIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40188,2/27/2021,LIQUID,NET 30,Nofield,0,0,16850,16850,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),59:12.9,P,QuoteNo,30544
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIKoIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40189,2/27/2021,LIQUID,NET 30,Nofield,0,0,4771.45,4771.45,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),01:48.8,P,QuoteNo,30545
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjHiqIAF:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40190,3/9/2021,LIQUID,NET 45,Nofield,0,0,4400,4400,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,54:02.4,P,QuoteNo,30546
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjHiqIAF:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40191,3/5/2021,LIQUID,NET 30,Nofield,0,0,1200,1200,Balance Due,SCC_4890,SCC_4890,Currier Construction,58:33.7,P,QuoteNo,30547
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWEIA3, current value is 001Dn00000PjI34IAF:Account__c --,Alloy Builders Corporation,Alloy Builders Corporation,7117 E. Orange Blossom Ln,NULL,Paradise Valley,AZ,85251,40192,3/5/2021,LIQUID,NET 30,Nofield,0,0,7700,7700,Balance Due,SCC_4995,SCC_4995,Alloy Builders Corporation,00:24.9,P,QuoteNo,30548
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjI34IAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40193,3/6/2021,LIQUID,NET 30,Nofield,0,0,9670,9670,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),01:37.3,P,QuoteNo,30549
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVBIA3, current value is 001Dn00000PjJJUIA3:Account__c --,MMI Tank,MMI Tank,3240 S. 37th Ave,NULL,Phoenix,AZ,85009,40194,3/6/2021,LIQUID,NET 30,Nofield,0,0,14520,14520,Balance Due,SCC_4927,SCC_4927,MMI Tank,05:36.1,P,QuoteNo,30550
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIFhIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40195,3/5/2021,LIQUID,NET 30,Nofield,0,0,3667.79,3667.79,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),06:39.2,P,QuoteNo,30551
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIU3IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40196,3/5/2021,LIQUID,NET 30,Nofield,0,0,2147.72,2147.72,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),09:09.6,P,QuoteNo,30552
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIU5IAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40197,3/12/2021,LIQUID,NET 45,Nofield,0,0,4400,4400,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,40:27.0,P,QuoteNo,30553
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUeIAN, current value is 001Dn00000PjIU5IAN:Account__c --,Castle Steel,Castle Steel,3828 N 35th Ave,NULL,Phoenix,AZ,85017,40198,3/11/2021,LIQUID,NET 30,Nofield,0,0,1000,1000,Balance Due,SCC_4891,SCC_4891,Castle Steel,49:33.6,P,QuoteNo,30554
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjIVyIAN:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40199,3/12/2021,LIQUID,NET 30,Nofield,0,0,415,415,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,52:17.6,P,QuoteNo,30555
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUxIAN, current value is 001Dn00000PjIU5IAN:Account__c --,Alstate Steel,Alstate Steel,5343 Mohave Street,NULL,Phoenix,AZ,85043,40200,3/12/2021,LIQUID,NET 30,Nofield,0,0,7183,7183,Balance Due,SCC_4912,SCC_4912,Alstate Steel,53:15.3,P,QuoteNo,30556
