Error,﻿CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39390,9/18/2018,LIQUID,NET 30,Nofield,0,0,7287,7287,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,NULL,P,QuoteNo,29706
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIVyIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39391,9/20/2018,LIQUID,DUE ON RECEI,Nofield,0,0,4399.54,4399.54,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),14:30.9,P,QuoteNo,29707
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUkIAN, current value is 001Dn00000PjIOPIA3:Account__c --,OLT Fabrication,OLT Fabrication,2301 West Broadway  ,,Phoenix,AZ,85041,39392,9/24/2018,LIQUID,NET 30,Nofield,0,0,1237.5,1237.5,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,NULL,P,QuoteNo,29708
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUkIAN, current value is 001Dn00000PjIjGIAV:Account__c --,OLT Fabrication,OLT Fabrication,2301 West Broadway  ,,Phoenix,AZ,85041,39393,9/24/2018,LIQUID,NET 30,Nofield,0,0,100,100,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,NULL,P,QuoteNo,29709
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIjvIAF:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39394,9/26/2018,LIQUID,NET 30,Nofield,0,0,150,150,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,NULL,P,QuoteNo,29710
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUrIAN, current value is 001Dn00000PjIGYIA3:Account__c --,TALIS CONSTRUCTION,TALIS CONSTRUCTION,2342 S McClintock Dr  ,,TEMPE,AZ,85282,39395,9/26/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2150,2150,Balance Due,SCC_4906,SCC_4906,TALIS CONSTRUCTION,58:53.9,P,QuoteNo,29711
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJO3IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39396,9/22/2018,LIQUID,DUE ON RECEI,Nofield,0,0,324,324,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),NULL,P,QuoteNo,29712
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjJO3IAN:Account__c --,Schuff Steel,Schuff Steel,4320 E. Presidio St. Suite 111  ,,Mesa,AZ,85215,39397,9/22/2018,,DUE ON RECEI,Nofield,0,0,920,920,Balance Due,SCC_4907,SCC_4907,Schuff Steel,00:28.8,P,QuoteNo,29713
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjJO3IAN:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39399,9/27/2018,LIQUID,DUE ON RECEI,Nofield,4.95,0,454.95,454.95,Balance Due,SCC_4890,SCC_4890,Currier Construction,NULL,P,QuoteNo,29715
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUtIAN, current value is 001Dn00000PjIJsIAN:Account__c --,Advanced Metal Sales LLC,Advanced Metal Sales LLC,21605 N 26th Ave  ,,Phoenix,AZ,85027,39401,9/26/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2850,2850,Balance Due,SCC_4908,SCC_4908,Advanced Metal Sales LLC,NULL,P,QuoteNo,29716
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUeIAN, current value is 001Dn00000PjIJsIAN:Account__c --,Castle Steel,Castle Steel,3828 N 35th Ave  ,,Phoenix,AZ,85017,39457MA,10/3/2018,LIQUID,NET 30,Nofield,0,0,400,400,Balance Due,SCC_4891,SCC_4891,Castle Steel,NULL,P,QuoteNo,29718
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUuIAN, current value is 001Dn00000PjIJsIAN:Account__c --,Separation By Design,Separation By Design,1601 Buchanan Road  ,,Evansville,IN,47720,39458SC,10/4/2018,STORAGE FEE,DUE ON RECEI,Nofield,0,0,1335,1335,Balance Due,SCC_4909,SCC_4909,Separation By Design,59:56.3,P,QuoteNo,29719
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIMKIA3:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39403,10/2/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2499,2499,Balance Due,SCC_4890,SCC_4890,Currier Construction,NULL,P,QuoteNo,29720
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIMKIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39404,10/3/2018,LIQUID,DUE ON RECEI,Nofield,0,0,10390.7,10390.7,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),NULL,P,QuoteNo,29721
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjIJBIA3:Account__c --,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont  ,,Mesa,AZ,85205,39405,10/5/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2000,2000,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",NULL,P,QuoteNo,29722
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJJUIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39406,8/24/2018,LIQUID,DUE ON RECEI,Nofield,0,0,1769.56,1769.56,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),NULL,P,QuoteNo,29723
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIjdIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39400,9/28/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2510,2510,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),NULL,P,QuoteNo,29724
